"Time","Prey","Predator"
14.3,2.45825862437519,16.7399211985901
14.4,2.40053909930335,16.613673042262
14.5,2.3447809468544,16.4874180835604
14.6,2.29090998875264,16.3612032865099
14.7,2.23885500056601,16.2350732976819
14.8,2.18854760049753,16.1090705397422
14.9,2.1399221411505,15.9832353020207
15,2.09291560434198,15.8576058281106
15.1,2.04746749901509,15.7322184005146
15.2,2.00351976228032,15.6071074223719
15.3,1.96101666359761,15.482305496301
15.4,1.91990471209528,15.3578435004071
15.5,1.88013256700813,15.2337506615071
15.6,1.84165095120545,15.1100546256284
15.7,1.80441256776939,14.9867815258462
15.8,1.76837201957578,14.8639560475234
15.9,1.73348573182225,14.7416014910228
16,1.69971187744268,14.6197398319614
16.1,1.66701030534209,14.4983917790793
16.2,1.63534247138229,14.3775768297951
