"Time","Predator"
23.8,7.24098325711751
23.9,7.17367043311988
24,7.10696072286135
24.1,7.04084971163141
24.2,6.97533298345328
24.3,6.91040612258488
24.4,6.84606471495009
24.5,6.78230434950312
24.6,6.71912061952899
24.7,6.65650912388248
24.8,6.59446546816834
24.9,6.53298526586502
25,6.47206413939436
25.1,6.41169772113948
25.2,6.3518816544128
25.3,6.29261159437662
25.4,6.23388320891781
25.5,6.1756921794788
25.6,6.11803420184647
25.7,6.06090498690085
25.8,6.00430026132505
25.9,5.94821576827824
26,5.89264726803309
26.1,5.83759053857903
26.2,5.78304137619299
26.3,5.72899559597864
26.4,5.67544903237571
26.5,5.62239753964039
26.6,5.5698369922981
26.7,5.51776328556981
26.8,5.46617233577289
26.9,5.41506008069752
27,5.36442247995985
27.1,5.31425551533264
